MODEL ANALYSIS:
=====================================================================================
 Method | lambda | MSE Train | MSE Test | R2 Train |  R2 Test |
-------------------------------------------------------------------------------------
     ols|  0.0001|2.62327e-28| 28.461628|  1.000000|  0.281756|
   ridge|  0.0001|2.60869e-13| 28.461628|  1.000000|  0.281756|
   ridge|   0.001|2.60866e-11| 28.461623|  1.000000|  0.281756|
   ridge|    0.01|2.60831e-09| 28.461578|  1.000000|  0.281757|
   ridge|     0.1|2.60759e-07| 28.461130|  1.000000|  0.281768|
   ridge|       1|2.60046e-05| 28.456670|  0.999999|  0.281881|
   ridge|      10| 0.00253117| 28.414746|  0.999928|  0.282939|
   ridge|     100|   0.199389| 28.194663|  0.994331|  0.288493|
   ridge|    1000|    5.61958| 30.015557|  0.840220|  0.242541|
   ridge|   10000|    25.1995| 37.119970|  0.283507|  0.063258|
   ridge|  100000|    33.8968| 39.863980|  0.036218| -0.005989|
   lasso|  0.0001|2.31402e-06| 46.354621|  1.000000| -0.169783|
   lasso|   0.001|0.000173977|  0.525194|  0.999995|  0.986746|
   lasso|    0.01| 0.00533663|  0.008797|  0.999848|  0.999778|
   lasso|     0.1|   0.533078|  0.877560|  0.984843|  0.977854|
   lasso|       1|    28.1091| 34.625234|  0.200780|  0.126214|
   lasso|      10|       35.2| 40.266667| -0.000836| -0.016151|
   lasso|     100|       35.2| 40.266667| -0.000836| -0.016151|
   lasso|    1000|       35.2| 40.266667| -0.000836| -0.016151|
   lasso|   10000|       35.2| 40.266667| -0.000836| -0.016151|
   lasso|  100000|       35.2| 40.266667| -0.000836| -0.016151|
