Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
77,relurelurelu,87.60333333333334,1.0709400564403857,0.1,50.0,l2,5000.0,94.73,1.0032811197488753,98.32000000000001,0.9698484979293642
80,relurelurelu,87.0,1.5792019437023121,0.1,100.0,l2,5000.0,95.50375,1.5008164858627286,98.62,1.4731800263846855
70,relurelu,86.21333333333334,2.2383648970701966,0.01,100.0,l2,5000.0,99.85125000000001,2.0416404022061294,100.0,2.037660140764732
79,relurelurelu,84.68333333333334,2.4006736801700055,0.01,100.0,l2,5000.0,99.7675,2.170851251437013,99.92,2.166563576325244
42,relurelu,84.31666666666668,3.170583249490093,0.001,100.0,l1,5000.0,99.64875,2.954998612232542,99.94,2.9492474264833546
66,relurelu,83.56666666666668,0.43925407240708736,0.001,50.0,l2,5000.0,97.7125,0.16694004964767054,99.2,0.14851016762087826
51,relurelurelu,83.23333333333333,3.3760772349549026,0.001,100.0,l1,5000.0,99.3075,3.1422923845999127,99.8,3.1342635082860855
33,relu,82.91000000000001,2.9757920640818316,0.001,100.0,l1,5000.0,99.63125000000001,2.761810313453132,99.96000000000001,2.7564987156373624
62,relu,82.79333333333334,1.1837521437328618,0.1,100.0,l2,5000.0,83.77375,1.1560909075498689,93.76,1.111951476884668
25,relurelurelu,82.72333333333334,0.3428729602398206,0.01,100.0,,5000.0,99.45,0.008861942160323204,99.9,0.002033898633407817
8,relu,82.56333333333333,0.27030068366314736,0.1,100.0,,5000.0,99.69625,0.00817545347414989,99.96000000000001,0.0035066286265577605
1,relu,82.37666666666667,0.24180378518068701,0.01,10.0,,5000.0,93.94875,0.08397160181461877,98.4,0.034311955217232265
15,relurelu,82.32666666666667,0.31110942060394214,0.001,100.0,,5000.0,99.71125,0.007747136948027932,99.96000000000001,0.00245724739281906
5,relu,82.16000000000001,0.2707463558813408,0.1,50.0,,5000.0,98.7,0.02190112033631151,99.72,0.009228256646709355
39,relurelu,81.74333333333334,1.6956729471068557,0.001,50.0,l1,5000.0,98.43375,1.4529174311408417,99.52,1.439641165982271
7,relu,81.51666666666667,0.29088778707881435,0.01,100.0,,5000.0,99.80125,0.006889113955314219,99.96000000000001,0.0028929995942493444
57,relu,81.5,0.4003862138945555,0.001,50.0,l2,5000.0,98.79375,0.14999783352569263,99.66,0.1389633467789898
16,relurelu,81.16333333333334,0.3244426160107625,0.01,100.0,,5000.0,99.6575,0.007753486725832043,99.88,0.002607636807359243
26,relurelurelu,80.83333333333334,0.3653642636968153,0.1,100.0,,5000.0,99.76625,0.006527951407249755,99.98,0.0014217987347534542
67,relurelu,80.73333333333333,1.2753449432889292,0.01,50.0,l2,5000.0,98.72,1.0238591215924755,99.7,1.010611027147502
71,relurelu,80.62,1.402333781981477,0.1,100.0,l2,5000.0,84.12875,1.369091211324247,94.12,1.3129640250919319
61,relu,80.54,2.1848308369136187,0.01,100.0,l2,5000.0,99.625,1.9212536523878594,99.94,1.9149086920006326
13,relurelu,80.5,0.3548418911440458,0.01,50.0,,5000.0,98.58,0.021062808988544728,99.66,0.006570074170197307
69,relurelu,80.38666666666667,0.6274193544458059,0.001,100.0,l2,5000.0,99.545,0.28454111715574093,99.9,0.2785734205877164
68,relurelu,80.37333333333333,0.9507384298750015,0.1,50.0,l2,5000.0,84.005,0.9231682358522784,93.84,0.8586917665703866
30,relu,79.84,1.639275639711114,0.001,50.0,l1,5000.0,97.74625,1.411653168594315,99.3,1.3949639794804012
60,relu,79.65666666666667,0.5827019291043748,0.001,100.0,l2,5000.0,99.765,0.2672310278524278,99.94,0.2628374166734593
24,relurelurelu,79.57000000000001,0.3992564850498685,0.001,100.0,,5000.0,99.43375,0.00990774789795962,99.8,0.002726878028622108
23,relurelurelu,79.52000000000001,0.38993052905858216,0.1,50.0,,5000.0,98.31,0.024457176591831484,99.34,0.010117809606599734
6,relu,79.10000000000001,0.3340264756073435,0.001,100.0,,5000.0,99.67375,0.009011820178312884,99.9,0.004151153473199059
76,relurelurelu,78.94333333333334,1.3732125184097694,0.01,50.0,l2,5000.0,98.755,1.0813851849739113,99.66,1.0674274554040573
78,relurelurelu,78.81666666666668,0.6736560168621002,0.001,100.0,l2,5000.0,99.89,0.29695500007032405,100.0,0.29353707949116525
58,relu,78.63000000000001,1.2442192557425704,0.01,50.0,l2,5000.0,98.79375,0.9789714517652742,99.52,0.9675253024743882
4,relu,78.54,0.3263892511493398,0.01,50.0,,5000.0,98.8075,0.01980678482525168,99.58,0.009073245200700738
14,relurelu,78.34666666666668,0.3664108025652155,0.1,50.0,,5000.0,99.45375,0.011472178335658209,99.78,0.004478429038632364
17,relurelu,78.27000000000001,0.39068697892626325,0.1,100.0,,5000.0,99.72875,0.00782266406351279,99.92,0.002757781009544497
12,relurelu,78.05666666666667,0.40431368028933135,0.001,50.0,,5000.0,95.6825,0.05737205916409773,98.64,0.02077693350003665
75,relurelurelu,78.01,0.5422343583492875,0.001,50.0,l2,5000.0,98.86125,0.16160574610465983,99.56,0.1499734692057968
48,relurelurelu,76.75666666666667,1.8144968479521644,0.001,50.0,l1,5000.0,99.3075,1.5015238414259238,99.86,1.492150592301423
3,relu,75.24333333333334,0.369533594083366,0.001,50.0,,5000.0,97.7475,0.033882045834199064,99.32000000000001,0.015334922343816174
22,relurelurelu,75.05333333333334,0.4644151578701111,0.01,50.0,,5000.0,98.1275,0.03020131978598039,99.5,0.009105337317555653
63,relurelu,74.32333333333334,0.3838526096407286,0.001,10.0,l2,5000.0,91.76,0.22530589508125498,97.62,0.09915699317858916
0,relu,74.21000000000001,0.3609472688652244,0.001,10.0,,5000.0,88.7,0.1799281152578623,96.66,0.07181215012430928
27,relu,74.11666666666667,0.5844877813483702,0.001,10.0,l1,5000.0,82.43375,0.5087687556200691,93.8,0.38892139551285826
21,relurelurelu,73.83,0.4773468608718623,0.001,50.0,,5000.0,99.07625,0.016134295221585927,99.64,0.005681415992089453
11,relurelu,73.77666666666667,0.34717997945517093,0.1,10.0,,5000.0,93.70375,0.11094761566416975,98.3,0.03908256074714186
2,relu,73.36,0.3568178489016431,0.1,10.0,,5000.0,84.18375,0.2488570530823816,95.18,0.09476470739101708
54,relu,72.78333333333333,0.40086965196555446,0.001,10.0,l2,5000.0,89.285,0.18487196270575681,96.74000000000001,0.0880483989065787
64,relurelu,71.52333333333334,0.6027243158668022,0.01,10.0,l2,5000.0,85.17,0.523860594087214,95.56,0.35426060042408314
