Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
36,relurelu,90.25333333333334,0.31195963033530155,0.001,10.0,l1,10000.0,96.4625,0.2505828533475791,99.03,0.21666202714133798
71,relurelu,88.80333333333334,0.42354786852251314,0.1,100.0,l2,10000.0,91.48,0.39049449033827766,96.73,0.35992668548199597
77,relurelurelu,87.83666666666667,0.4909058798079343,0.1,50.0,l2,10000.0,94.12625,0.43060832453375686,98.19,0.4032559842121751
68,relurelu,86.80000000000001,0.422413197557868,0.1,50.0,l2,10000.0,88.80875,0.3953402281705976,95.3,0.35880462108835526
51,relurelurelu,86.19000000000001,2.1070039770908933,0.001,100.0,l1,10000.0,99.84375,1.9212419114778438,99.98,1.918153066883466
73,relurelurelu,85.4,0.3812454609815848,0.01,10.0,l2,10000.0,89.24625,0.35115988463092,95.19,0.29558622680768815
55,relu,84.78666666666668,0.3379998245458361,0.01,10.0,l2,10000.0,92.305,0.25174836988868454,97.55,0.20328325861453078
61,relu,84.02000000000001,1.5378469392803304,0.01,100.0,l2,10000.0,99.84875,1.330250560500225,99.9,1.3277976873432844
76,relurelurelu,83.97333333333334,1.0020711022343716,0.01,50.0,l2,10000.0,99.345,0.775774645630355,99.76,0.7684135977345168
48,relurelurelu,83.91666666666667,1.1088791368643622,0.001,50.0,l1,10000.0,98.86375,0.968015329897097,99.68,0.9564785624013458
42,relurelu,83.25,2.0225094217978583,0.001,100.0,l1,10000.0,99.485,1.8126398939616122,99.87,1.8060688849759492
20,relurelurelu,82.93333333333334,0.2518437674556176,0.1,10.0,,10000.0,91.1875,0.17520721929735855,96.47,0.08761132682876956
27,relu,82.91333333333334,0.37945158545266094,0.001,10.0,l1,10000.0,94.04875,0.27436933795958435,98.07000000000001,0.2352759157267337
8,relu,81.80000000000001,0.31021396130698553,0.1,100.0,,10000.0,99.81125,0.0054968083545543535,99.93,0.0026740656032183015
67,relurelu,81.72666666666667,0.9824110132794154,0.01,50.0,l2,10000.0,98.885,0.7329735370132859,99.64,0.7225935875734791
4,relu,81.47,0.316252000700942,0.01,50.0,,10000.0,99.36,0.012091203080027934,99.74000000000001,0.005959591743999505
7,relu,81.34,0.3210829815819461,0.01,100.0,,10000.0,99.8075,0.0058671100120735835,99.91,0.0028119950882282783
70,relurelu,81.33333333333334,1.6837840323971958,0.01,100.0,l2,10000.0,99.84875,1.4255576147226399,99.9,1.4225473342140622
39,relurelu,81.20666666666668,1.1069630149096996,0.001,50.0,l1,10000.0,97.0625,0.9296103275182472,99.01,0.9096812626389517
5,relu,81.17666666666668,0.32292845302013234,0.1,50.0,,10000.0,99.40875,0.01169966945770871,99.76,0.005715393920965538
60,relu,80.98,0.5702446065615949,0.001,100.0,l2,10000.0,99.755,0.25662556674218273,99.93,0.2530761098281245
