Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
0,sigmoid,69.51666666666667,0.3328365146627683,0.001,10.0,,5000.0,59.65375,0.3443056455306869,60.480000000000004,0.34198468225659134
2,sigmoid,69.23,0.3321700224605163,0.1,10.0,,5000.0,59.625,0.34396535842820913,60.52,0.341545825534299
33,sigmoid,69.15333333333334,3.07843964205649,0.001,100.0,l1,5000.0,68.13,3.0881578362501974,73.58,3.0731369718543604
8,sigmoid,69.09333333333333,0.3287005885954923,0.1,100.0,,5000.0,68.64375,0.33787467133741383,73.5,0.3221677362553743
58,sigmoid,69.0,1.2759060437462937,0.01,50.0,l2,5000.0,63.59125,1.2877522389360125,66.08,1.2812168826067627
7,sigmoid,68.25666666666667,0.3283301840888669,0.01,100.0,,5000.0,69.24375,0.33752194598306473,74.86,0.3190686599675002
27,sigmoid,67.94333333333334,0.607236875875537,0.001,10.0,l1,5000.0,57.3225,0.6188114970874682,57.96,0.6170191157928031
55,sigmoid,67.89666666666668,0.5220075646296345,0.01,10.0,l2,5000.0,57.04125,0.5341796691802867,57.96,0.5318353526619004
5,sigmoid,67.26333333333334,0.3299858726594123,0.1,50.0,,5000.0,64.96875,0.3421301818558889,67.6,0.3341573535495669
30,sigmoid,67.15333333333334,1.7042835316518632,0.001,50.0,l1,5000.0,64.4675,1.7151945509459754,68.2,1.7071900440297696
54,sigmoid,67.0,0.3599743913071568,0.001,10.0,l2,5000.0,56.045,0.3715126329272884,56.660000000000004,0.36993531811295965
6,sigmoid,66.86,0.32831959863386173,0.001,100.0,,5000.0,69.26,0.3364318362072749,74.84,0.318741396228044
1,sigmoid,66.84666666666666,0.3322328843630001,0.01,10.0,,5000.0,58.941250000000004,0.34437726849357303,60.18,0.34176881537208487
61,sigmoid,66.83,2.225384008557764,0.01,100.0,l2,5000.0,68.36375,2.2334278185442034,72.5,2.22036908053186
59,sigmoid,66.68,0.7669539214485988,0.1,50.0,l2,5000.0,53.987500000000004,0.7779021390250929,54.1,0.7760884344308798
62,sigmoid,66.68,1.197557678127074,0.1,100.0,l2,5000.0,54.0025,1.2096016511924728,54.1,1.2073501398298985
69,sigmoidsigmoid,66.67,0.6075310903973415,0.001,100.0,l2,5000.0,54.003750000000004,0.618757858140825,54.1,0.6179675677061899
57,sigmoid,66.67,0.46139156596629755,0.001,50.0,l2,5000.0,65.65,0.47157640389379946,67.88,0.46462664866212894
53,sigmoidsigmoidsigmoid,66.66666666666667,4.849965499700628,0.1,100.0,l1,5000.0,54.003750000000004,4.862173063494327,54.1,4.8620802746020875
51,sigmoidsigmoidsigmoid,66.66666666666667,3.4256634181223715,0.001,100.0,l1,5000.0,54.003750000000004,3.437934340656746,54.1,3.4378266065758707
50,sigmoidsigmoidsigmoid,66.66666666666667,2.4563230314844535,0.1,50.0,l1,5000.0,54.003750000000004,2.4691321063857425,54.1,2.4690347454463835
56,sigmoid,66.66666666666667,0.41905205476489915,0.1,10.0,l2,5000.0,54.003750000000004,0.43097615199108286,54.1,0.4304661269824592
49,sigmoidsigmoidsigmoid,66.66666666666667,0.3548685654352159,0.01,50.0,l1,5000.0,54.003750000000004,0.3662852468481211,54.1,0.36619846940064055
48,sigmoidsigmoidsigmoid,66.66666666666667,1.7890642913345418,0.001,50.0,l1,5000.0,54.003750000000004,1.7997368679320875,54.1,1.799652508277002
47,sigmoidsigmoidsigmoid,66.66666666666667,0.7401002646145477,0.1,10.0,l1,5000.0,54.003750000000004,0.7520383978873696,54.1,0.7519476569184549
52,sigmoidsigmoidsigmoid,66.66666666666667,0.37774654672074204,0.01,100.0,l1,5000.0,54.003750000000004,0.39032010815240403,54.1,0.3902245373356917
64,sigmoidsigmoid,66.66666666666667,0.5234862026989535,0.01,10.0,l2,5000.0,54.003750000000004,0.5348899606827779,54.1,0.5347934272775249
63,sigmoidsigmoid,66.66666666666667,0.35875291919977464,0.001,10.0,l2,5000.0,54.003750000000004,0.37068000569971027,54.1,0.3705968404495366
73,sigmoidsigmoidsigmoid,66.66666666666667,0.5249047461281636,0.01,10.0,l2,5000.0,54.003750000000004,0.5366214280388466,54.1,0.5365325814291199
79,sigmoidsigmoidsigmoid,66.66666666666667,2.4680995819718103,0.01,100.0,l2,5000.0,54.003750000000004,2.479860510331748,54.1,2.4797468983998865
78,sigmoidsigmoidsigmoid,66.66666666666667,0.6238404532821767,0.001,100.0,l2,5000.0,54.003750000000004,0.6355874888024265,54.1,0.6354818611514212
77,sigmoidsigmoidsigmoid,66.66666666666667,0.7911913448722045,0.1,50.0,l2,5000.0,54.003750000000004,0.8036506553471762,54.1,0.8035559517836218
76,sigmoidsigmoidsigmoid,66.66666666666667,1.3412471865127222,0.01,50.0,l2,5000.0,54.003750000000004,1.3522249805868,54.1,1.3521384447008158
75,sigmoidsigmoidsigmoid,66.66666666666667,0.4694322883048716,0.001,50.0,l2,5000.0,54.003750000000004,0.48195583589806834,54.1,0.48185897618576434
74,sigmoidsigmoidsigmoid,66.66666666666667,0.4215993649790652,0.1,10.0,l2,5000.0,54.003750000000004,0.43289127807618083,54.1,0.43280544889258427
