Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
31,tanh,96.17666666666668,0.2796909601054136,0.01,50.0,l1,5000.0,99.93,0.2356085928944918,99.92,0.22767008908223788
34,tanh,95.84333333333333,0.3199727036929988,0.01,100.0,l1,5000.0,99.93,0.27191513157542396,99.94,0.2633518720821374
51,tanhtanhtanh,93.57666666666667,3.2224168622702294,0.001,100.0,l1,5000.0,98.62375,3.1496131090977997,99.68,3.1351819443563116
71,tanhtanh,93.48666666666668,1.2429388025445398,0.1,100.0,l2,5000.0,97.85375,1.2102923233342835,99.16,1.1895890868340515
24,tanhtanhtanh,91.54333333333334,0.13082367740700526,0.001,100.0,,5000.0,99.52875,0.0329171342376938,99.84,0.025104921392898553
25,tanhtanhtanh,89.93333333333334,0.14069767148371617,0.01,100.0,,5000.0,97.89,0.03949893960707644,99.22,0.021440132962585803
79,tanhtanhtanh,89.22666666666667,2.3175796787689733,0.01,100.0,l2,5000.0,97.245,2.2214530163289656,99.24000000000001,2.1993658148108275
62,tanh,89.2,1.17426883917366,0.1,100.0,l2,5000.0,90.11375,1.1558426782874835,96.84,1.1074503246534608
70,tanhtanh,89.18333333333334,2.1990733917883567,0.01,100.0,l2,5000.0,96.88875,2.1112491632921095,98.98,2.0870296076802646
26,tanhtanhtanh,89.13000000000001,0.1529609477068507,0.1,100.0,,5000.0,97.0675,0.05012140054177164,98.96000000000001,0.028977861040768847
42,tanhtanh,88.92333333333333,3.0895579809368368,0.001,100.0,l1,5000.0,95.575,3.010578108718268,98.46000000000001,2.982137697691875
59,tanh,88.29333333333334,0.7375571303778836,0.1,50.0,l2,5000.0,88.9925,0.7230400523086373,96.8,0.6727687786653263
16,tanhtanh,87.11,0.16752502126328653,0.01,100.0,,5000.0,96.34625,0.06708488078701422,98.86,0.041236797756896836
12,tanhtanh,86.80000000000001,0.1929638329855208,0.001,50.0,,5000.0,92.75,0.13335050684731928,97.06,0.10297228068219279
39,tanhtanh,86.61666666666667,1.613589408656938,0.001,50.0,l1,5000.0,92.87125,1.5492335042237293,96.82000000000001,1.5194447360609091
78,tanhtanhtanh,86.54,0.4655872393428031,0.001,100.0,l2,5000.0,97.12125,0.34024354129969936,99.22,0.3169051786982312
56,tanh,86.32666666666667,0.4016846893748909,0.1,10.0,l2,5000.0,87.28125,0.39341758170337726,95.22,0.3554508361478744
69,tanhtanh,85.65333333333334,0.4575824252863476,0.001,100.0,l2,5000.0,96.42625,0.34136677406072335,98.86,0.31570418662999117
17,tanhtanh,84.71666666666667,0.18628006691238638,0.1,100.0,,5000.0,95.9,0.06723918863484182,98.8,0.03806213361336877
15,tanhtanh,81.60333333333334,0.2122748653318121,0.001,100.0,,5000.0,91.51125,0.10559243885164266,97.14,0.053777305421559396
68,tanhtanh,80.01666666666667,0.7920965248015241,0.1,50.0,l2,5000.0,76.8925,0.7935880902274202,83.58,0.7849579263509896
14,tanhtanh,79.53666666666668,0.2290902897162181,0.1,50.0,,5000.0,88.3925,0.15287496910187665,94.88,0.10745082997112991
21,tanhtanhtanh,78.76,0.23833125193434704,0.001,50.0,,5000.0,90.14625,0.16863747657395703,94.2,0.14195635014847127
13,tanhtanh,78.69666666666667,0.23791112873608808,0.01,50.0,,5000.0,87.49125000000001,0.16187204631769322,94.5,0.11421400889078459
67,tanhtanh,76.66666666666667,1.2560903845928,0.01,50.0,l2,5000.0,83.53375,1.1956872908092726,93.3,1.1234123672130962
30,tanh,74.72666666666667,1.6707740036425918,0.001,50.0,l1,5000.0,77.65625,1.642622627864009,91.34,1.5305036667795215
33,tanh,74.51333333333334,3.0463596442399967,0.001,100.0,l1,5000.0,78.12,3.010289886301979,92.26,2.8855241734282817
75,tanhtanhtanh,73.37666666666667,0.4432168086302334,0.001,50.0,l2,5000.0,79.78,0.4284096140705934,83.22,0.41508887579999154
58,tanh,73.17,1.2635505735615618,0.01,50.0,l2,5000.0,77.12375,1.2300172512941108,90.92,1.1157506245979445
76,tanhtanhtanh,72.67666666666668,1.3316833297994555,0.01,50.0,l2,5000.0,74.2375,1.3305011177423631,76.82000000000001,1.32453015461238
66,tanhtanh,72.33666666666667,0.424572486817383,0.001,50.0,l2,5000.0,80.81375,0.35867931086406235,91.16,0.27900551512555816
23,tanhtanhtanh,71.83666666666667,0.30622910836693745,0.1,50.0,,5000.0,79.31125,0.29145675715156044,82.54,0.27855030456615837
61,tanh,71.53333333333333,2.2269542918997516,0.01,100.0,l2,5000.0,77.31625,2.176977370421909,91.86,2.0503239908743724
4,tanh,70.11333333333334,0.3252030334313001,0.01,50.0,,5000.0,75.8725,0.2888920926062417,89.74,0.16577656883543102
60,tanh,70.06,0.5899050206494647,0.001,100.0,l2,5000.0,76.22875,0.5430105185147494,91.9,0.3989735718839452
6,tanh,70.00333333333334,0.3370357739132389,0.001,100.0,,5000.0,77.15875,0.2763360852038166,92.36,0.1307642442899426
57,tanh,69.97,0.45001026296044866,0.001,50.0,l2,5000.0,75.9,0.412162538599187,89.94,0.2884207582556793
9,tanhtanh,69.89333333333333,0.3334332529429318,0.001,10.0,,5000.0,63.80375,0.3417841313290398,64.74,0.33963568607134426
8,tanh,69.88000000000001,0.33733734375141733,0.1,100.0,,5000.0,77.02125,0.28293008413627624,92.16,0.1284949808439183
