Index,Activation,Critical accuracy,Critical error,Lambda,Nodes,Regularization,Sample size,Test accuracy,Test error,Train accuracy,Train error
62,tanh,96.64333333333335,0.22120794121443435,0.1,100.0,l2,10000.0,99.94375000000001,0.17832417574479786,99.91,0.17437581531936516
59,tanh,96.43666666666667,0.21498223739017833,0.1,50.0,l2,10000.0,99.93875,0.17392348113237174,99.9,0.16962289251871362
71,tanhtanh,96.37,0.28670701999100073,0.1,100.0,l2,10000.0,99.9375,0.24404258265106307,99.9,0.24164271718356198
56,tanh,96.23,0.252622275756854,0.1,10.0,l2,10000.0,99.9325,0.21919914956009806,99.9,0.21338270640378215
51,tanhtanhtanh,96.16333333333334,1.98817316781211,0.001,100.0,l1,10000.0,99.94500000000001,1.9247251698874541,99.91,1.924307812501477
39,tanhtanh,96.16333333333334,0.9537214791549166,0.001,50.0,l1,10000.0,99.94,0.8978015463748267,99.93,0.8964485244911162
68,tanhtanh,95.94000000000001,0.3136969660906405,0.1,50.0,l2,10000.0,99.91375000000001,0.27698299340042776,99.9,0.2736801463664564
79,tanhtanhtanh,95.80000000000001,1.6152409551589673,0.01,100.0,l2,10000.0,99.95375,1.5446067582831633,99.93,1.543782614820009
31,tanh,95.78333333333335,0.21249820167593433,0.01,50.0,l1,10000.0,99.95375,0.1505862456886365,99.93,0.1488462981803787
34,tanh,95.53333333333335,0.2586267696668078,0.01,100.0,l1,10000.0,99.95,0.19217873171320865,99.92,0.19004762762210797
42,tanhtanh,95.53,1.8920120960627065,0.001,100.0,l1,10000.0,99.9375,1.8217774782746667,99.92,1.8196067475885893
48,tanhtanhtanh,95.04666666666667,1.0147100564967284,0.001,50.0,l1,10000.0,99.72125,0.9499951203251392,99.74000000000001,0.9463984499253011
78,tanhtanhtanh,94.85000000000001,0.37581988691638735,0.001,100.0,l2,10000.0,99.93,0.2903528325745433,99.91,0.2898513449296175
26,tanhtanhtanh,94.69333333333334,0.09412088575446101,0.1,100.0,,10000.0,99.93,0.0055491274568289315,99.93,0.00423672132391684
70,tanhtanh,94.50333333333334,1.5385649886206523,0.01,100.0,l2,10000.0,99.9425,1.455570820734391,99.94,1.4531974650442523
76,tanhtanhtanh,94.26666666666667,0.8465526634221625,0.01,50.0,l2,10000.0,99.8325,0.7653009221948383,99.82000000000001,0.762418282274334
23,tanhtanhtanh,93.49333333333334,0.1076431831092714,0.1,50.0,,10000.0,99.87375,0.008044940737581848,99.87,0.006800396668496012
24,tanhtanhtanh,93.37666666666668,0.11281426282696862,0.001,100.0,,10000.0,99.925,0.0047733272757098455,99.95,0.0039601625420823535
21,tanhtanhtanh,93.01,0.11542516266101639,0.001,50.0,,10000.0,99.86625000000001,0.007163141509484608,99.89,0.005776026793832403
25,tanhtanhtanh,92.58333333333334,0.11808288533200981,0.01,100.0,,10000.0,99.92875000000001,0.0054530866095603946,99.93,0.004298437825786523
16,tanhtanh,92.47333333333334,0.11726906592267221,0.01,100.0,,10000.0,99.9075,0.01128225727841797,99.92,0.00846766238503566
12,tanhtanh,92.18,0.12294258912938089,0.001,50.0,,10000.0,99.86125,0.022238546038567533,99.87,0.0180535000488819
66,tanhtanh,91.60333333333334,0.2603841210062667,0.001,50.0,l2,10000.0,99.6225,0.15786922134771936,99.74000000000001,0.15120902562144484
67,tanhtanh,91.45333333333333,0.8593747887322868,0.01,50.0,l2,10000.0,99.24625,0.7639446141252136,99.68,0.7528318248849556
75,tanhtanhtanh,91.22666666666667,0.2677021413885797,0.001,50.0,l2,10000.0,99.8125,0.1498656879485462,99.86,0.14719514478359497
15,tanhtanh,91.09333333333333,0.12857919584148306,0.001,100.0,,10000.0,99.91125,0.011139477917843065,99.94,0.008673323931288704
17,tanhtanh,90.75,0.13247789367192309,0.1,100.0,,10000.0,99.885,0.012815572640149979,99.87,0.00964826586135858
69,tanhtanh,90.21333333333334,0.4065499145075865,0.001,100.0,l2,10000.0,99.9,0.28103387272498415,99.9,0.27790282631027224
22,tanhtanhtanh,89.71333333333334,0.15135990029273566,0.01,50.0,,10000.0,99.825,0.010401939600679429,99.88,0.0074553363979473295
33,tanh,88.20333333333333,1.8401308629734245,0.001,100.0,l1,10000.0,93.11125,1.77481223287396,97.91,1.7262555388345668
13,tanhtanh,87.96333333333334,0.16289300564108244,0.01,50.0,,10000.0,99.6575,0.022518609244571507,99.81,0.01566305703268041
30,tanh,87.33333333333334,1.0145006012497617,0.001,50.0,l1,10000.0,92.645,0.9438570962038872,97.76,0.895180925137625
14,tanhtanh,85.32333333333334,0.1861508400378277,0.1,50.0,,10000.0,98.4525,0.03676199003050571,99.55,0.021769466846379683
27,tanh,82.34,0.3865338354744695,0.001,10.0,l1,10000.0,88.79375,0.32512232983312167,96.11,0.2692375151387232
0,tanh,82.30333333333334,0.24890341985106101,0.001,10.0,,10000.0,83.9475,0.24178403021350114,92.3,0.1681100167479829
61,tanh,81.75666666666667,1.5711762457339322,0.01,100.0,l2,10000.0,88.32875,1.4942693597278964,96.38,1.4155914938224115
58,tanh,79.91000000000001,0.9273913622470463,0.01,50.0,l2,10000.0,87.2975,0.8466480447512541,96.29,0.7659800305981829
55,tanh,78.94000000000001,0.39855635363284003,0.01,10.0,l2,10000.0,86.68625,0.33382540217957535,94.98,0.26765300405667913
60,tanh,74.73333333333333,0.5392538830441342,0.001,100.0,l2,10000.0,85.78375,0.42095209681899814,95.96000000000001,0.31544778159853937
57,tanh,74.62333333333333,0.41473784091184407,0.001,50.0,l2,10000.0,84.88125000000001,0.30947284738313074,95.55,0.20363762449735875
8,tanh,74.36,0.28796341154536337,0.1,100.0,,10000.0,85.05375000000001,0.1772488965493891,95.73,0.06524124856272362
7,tanh,74.05666666666667,0.2898469710849063,0.01,100.0,,10000.0,85.4425,0.17355577379778034,95.76,0.06683074231646596
4,tanh,74.01666666666667,0.29613696565535075,0.01,50.0,,10000.0,84.925,0.18326861086361113,95.10000000000001,0.07590424013661835
6,tanh,73.88333333333334,0.2991712043984672,0.001,100.0,,10000.0,84.87125,0.18299655883558,95.21000000000001,0.07153062363610528
3,tanh,73.70666666666668,0.2930247455236145,0.001,50.0,,10000.0,85.235,0.1773672834097614,95.62,0.06909153776932755
54,tanh,72.23333333333333,0.32599353042261797,0.001,10.0,l2,10000.0,83.5625,0.23248102044505267,93.17,0.14314206533712065
5,tanh,71.14333333333333,0.3145745633533031,0.1,50.0,,10000.0,84.09875,0.18638249643243415,95.04,0.07993395289869129
36,tanhtanh,70.81,0.47506222104001306,0.001,10.0,l1,10000.0,76.30375000000001,0.47194525683120236,82.68,0.44132863490321184
1,tanh,69.33666666666667,0.3168450911239637,0.01,10.0,,10000.0,82.34875,0.22183210654846885,92.92,0.12394523791255288
77,tanhtanhtanh,66.66666666666667,0.3464378343893469,0.1,50.0,l2,10000.0,53.835,0.35715073463047226,54.33,0.35673746651953303
65,tanhtanh,66.66666666666667,0.3366186198026275,0.1,10.0,l2,10000.0,53.835,0.3473776670624055,54.33,0.3469625710722338
74,tanhtanhtanh,66.66666666666667,0.33663918946660903,0.1,10.0,l2,10000.0,53.835,0.34740775208920116,54.33,0.3469923392598416
73,tanhtanhtanh,66.66666666666667,0.4671371587087614,0.01,10.0,l2,10000.0,53.835,0.4778836289407036,54.33,0.47746777642630056
72,tanhtanhtanh,66.66666666666667,0.3597606080344593,0.001,10.0,l2,10000.0,53.835,0.3704869418299165,54.33,0.37005192977403456
40,tanhtanh,66.66666666666667,0.35497126185924444,0.01,50.0,l1,10000.0,53.835,0.36571542245072536,54.33,0.3653009510000687
53,tanhtanhtanh,66.66666666666667,4.842901001272324,0.1,100.0,l1,10000.0,53.835,4.853652974068669,54.33,4.853238201230434
41,tanhtanh,66.66666666666667,2.3944634330514356,0.1,50.0,l1,10000.0,53.835,2.40522721462166,54.33,2.4048119850069405
18,tanhtanhtanh,66.66666666666667,0.3343340560988396,0.001,10.0,,10000.0,53.835,0.34495503369308156,54.33,0.34449573176275133
19,tanhtanhtanh,66.66666666666667,0.3342103392972938,0.01,10.0,,10000.0,53.835,0.34478615541082963,54.33,0.34433843552973475
20,tanhtanhtanh,66.66666666666667,0.33438163444724905,0.1,10.0,,10000.0,53.835,0.345119040750736,54.33,0.3446806168707848
29,tanh,66.66666666666667,0.7353324969078457,0.1,10.0,l1,10000.0,53.835,0.7461282330610077,54.33,0.7457115777550769
32,tanh,66.66666666666667,2.3395471944654487,0.1,50.0,l1,10000.0,53.835,2.3503343405139425,54.33,2.3499183522026055
35,tanh,66.66666666666667,4.3375819828754185,0.1,100.0,l1,10000.0,53.835,4.348388064725579,54.33,4.347971161872845
52,tanhtanhtanh,66.66666666666667,0.37947574889994046,0.01,100.0,l1,10000.0,53.835,0.3902660131624907,54.33,0.3898497631967831
38,tanhtanh,66.66666666666667,0.7373948340163338,0.1,10.0,l1,10000.0,53.835,0.7481398387500314,54.33,0.7477253346762683
37,tanhtanh,66.66666666666667,0.3384076364944184,0.01,10.0,l1,10000.0,53.835,0.3491681200307862,54.33,0.34875301889928484
43,tanhtanh,66.66666666666667,0.376888374073584,0.01,100.0,l1,10000.0,53.835,0.38766056630364776,54.33,0.3872450134905304
44,tanhtanh,66.66666666666667,4.595873940615342,0.1,100.0,l1,10000.0,53.835,4.606639429073488,54.33,4.6062241317771635
